Report Date:,9/26/2022 8:43:03 AM
Report User Name:,crgilder
Report Computer Name:,FLORENCE
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,04012022_2022-09-26_08-42-56-420.wsl
Create Date,9/26/2022 8:42:43 AM

Device Properties
Device,Rugged TROLL 100
Site,Nyack
Device Name, 
Serial Number,816184
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,12
Used Battery,4

Log Configuration
,Log Name,04012022
,Created By,crgilder
,Computer Name,FLORENCE
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,4/1/2022 3:27:48 PM Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,4/1/2022 4:00:00 PM Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,922.239 (cm)
,Head Pressure:,90.3502 (kPa)
,Temperature:,15.2152 (C)



Log Notes:
Date and Time,Note
4/1/2022 3:28:31 PM   ,Used Battery: 4% Used Memory: 3%   User Name: crgilder
9/26/2022 8:39:35 AM  ,Used Battery: 8% Used Memory: 18%   User Name: crgilder
9/26/2022 8:39:36 AM  ,Manual Stop Command


Log Data:
Record Count,15812

Sensors,1

 ,1,816184,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 816184                             ,SN#: 816184                             ,SN#: 816184                             ,
Date and Time,Seconds     ,Depth (cm)                              ,Pressure (kPa)                          ,Temperature (C)                         ,
4/1/2022 4:00:00 PM   ,       0.000,                                 923.604,                                  90.484,                                  19.004,
4/1/2022 4:15:00 PM   ,     900.000,                                 923.339,                                  90.458,                                  18.552,
4/1/2022 4:30:00 PM   ,    1800.000,                                 923.120,                                  90.437,                                  18.050,
4/1/2022 4:45:00 PM   ,    2700.000,                                 922.870,                                  90.412,                                  17.647,
4/1/2022 5:00:00 PM   ,    3600.000,                                 922.568,                                  90.383,                                  17.243,
4/1/2022 5:15:00 PM   ,    4500.000,                                 921.523,                                  90.280,                                  16.940,
4/1/2022 5:30:00 PM   ,    5400.000,                                 921.374,                                  90.266,                                  16.738,
4/1/2022 5:45:00 PM   ,    6300.000,                                 921.717,                                  90.299,                                  16.536,
4/1/2022 6:00:00 PM   ,    7200.000,                                 921.459,                                  90.274,                                  16.333,
4/1/2022 6:15:00 PM   ,    8100.000,                                 922.423,                                  90.368,                                  16.232,
4/1/2022 6:30:00 PM   ,    9000.000,                                 921.366,                                  90.265,                                  16.130,
4/1/2022 6:45:00 PM   ,    9900.000,                                 921.502,                                  90.278,                                  15.978,
4/1/2022 7:00:00 PM   ,   10800.000,                                 921.046,                                  90.233,                                  15.876,
4/1/2022 7:15:00 PM   ,   11700.000,                                 921.692,                                  90.297,                                  15.826,
4/1/2022 7:30:00 PM   ,   12600.000,                                 921.182,                                  90.247,                                  15.724,
4/1/2022 7:45:00 PM   ,   13500.000,                                 920.790,                                  90.208,                                  15.673,
4/1/2022 8:00:00 PM   ,   14400.000,                                 920.563,                                  90.186,                                  15.622,
4/1/2022 8:15:00 PM   ,   15300.000,                                 922.028,                                  90.330,                                  15.571,
4/1/2022 8:30:00 PM   ,   16200.000,                                 921.036,                                  90.232,                                  15.521,
4/1/2022 8:45:00 PM   ,   17100.000,                                 921.190,                                  90.248,                                  15.470,
4/1/2022 9:00:00 PM   ,   18000.000,                                 921.190,                                  90.248,                                  15.470,
4/1/2022 9:15:00 PM   ,   18900.000,                                 921.236,                                  90.252,                                  15.419,
4/1/2022 9:30:00 PM   ,   19800.000,                                 922.320,                                  90.358,                                  15.368,
4/1/2022 9:45:00 PM   ,   20700.000,                                 921.555,                                  90.283,                                  15.368,
4/1/2022 10:00:00 PM  ,   21600.000,                                 921.500,                                  90.278,                                  15.368,
4/1/2022 10:15:00 PM  ,   22500.000,                                 921.765,                                  90.304,                                  15.317,
4/1/2022 10:30:00 PM  ,   23400.000,                                 921.537,                                  90.281,                                  15.266,
4/1/2022 10:45:00 PM  ,   24300.000,                                 921.646,                                  90.292,                                  15.266,
4/1/2022 11:00:00 PM  ,   25200.000,                                 922.793,                                  90.405,                                  15.266,
4/1/2022 11:15:00 PM  ,   26100.000,                                 922.566,                                  90.382,                                  15.215,
4/1/2022 11:30:00 PM  ,   27000.000,                                 921.692,                                  90.297,                                  15.215,
4/1/2022 11:45:00 PM  ,   27900.000,                                 921.801,                                  90.307,                                  15.215,
4/2/2022 12:00:00 AM  ,   28800.000,                                 921.519,                                  90.280,                                  15.164,
4/2/2022 12:15:00 AM  ,   29700.000,                                 921.474,                                  90.275,                                  15.215,
4/2/2022 12:30:00 AM  ,   30600.000,                                 921.465,                                  90.274,                                  15.164,
4/2/2022 12:45:00 AM  ,   31500.000,                                 921.192,                                  90.248,                                  15.164,
4/2/2022 1:00:00 AM   ,   32400.000,                                 921.301,                                  90.258,                                  15.164,
4/2/2022 1:15:00 AM   ,   33300.000,                                 921.738,                                  90.301,                                  15.164,
4/2/2022 1:30:00 AM   ,   34200.000,                                 922.111,                                  90.338,                                  15.113,
4/2/2022 1:45:00 AM   ,   35100.000,                                 921.128,                                  90.241,                                  15.113,
4/2/2022 2:00:00 AM   ,   36000.000,                                 921.237,                                  90.252,                                  15.113,
4/2/2022 2:15:00 AM   ,   36900.000,                                 921.128,                                  90.241,                                  15.113,
4/2/2022 2:30:00 AM   ,   37800.000,                                 921.237,                                  90.252,                                  15.113,
4/2/2022 2:45:00 AM   ,   38700.000,                                 920.682,                                  90.198,                                  15.062,
4/2/2022 3:00:00 AM   ,   39600.000,                                 920.628,                                  90.192,                                  15.062,
4/2/2022 3:15:00 AM   ,   40500.000,                                 920.246,                                  90.155,                                  15.062,
4/2/2022 3:30:00 AM   ,   41400.000,                                 921.556,                                  90.283,                                  15.062,
4/2/2022 3:45:00 AM   ,   42300.000,                                 921.338,                                  90.262,                                  15.062,
