Report Date:,9/26/2022 8:32:45 AM
Report User Name:,crgilder
Report Computer Name:,FLORENCE
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,04012022_2022-09-26_08-31-41-063.wsl
Create Date,9/26/2022 8:21:25 AM

Device Properties
Device,Rugged TROLL 100
Site,Nyack
Device Name, 
Serial Number,816217
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,12
Used Battery,4

Log Configuration
,Log Name,04012022
,Created By,crgilder
,Computer Name,FLORENCE
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,4/1/2022 3:29:15 PM Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,4/1/2022 4:00:00 PM Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,921.228 (cm)
,Head Pressure:,90.2513 (kPa)
,Temperature:,15.5032 (C)



Log Notes:
Date and Time,Note
4/1/2022 3:29:41 PM   ,Used Battery: 4% Used Memory: 3%   User Name: crgilder
9/26/2022 8:17:19 AM  ,Used Battery: 8% Used Memory: 18%   User Name: crgilder
9/26/2022 8:17:20 AM  ,Manual Stop Command


Log Data:
Record Count,15812

Sensors,1

 ,1,816217,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 816217                             ,SN#: 816217                             ,SN#: 816217                             ,
Date and Time,Seconds     ,Depth (cm)                              ,Pressure (kPa)                          ,Temperature (C)                         ,
4/1/2022 4:00:00 PM   ,       0.000,                                 922.275,                                  90.354,                                  18.804,
4/1/2022 4:15:00 PM   ,     900.000,                                 922.036,                                  90.330,                                  18.754,
4/1/2022 4:30:00 PM   ,    1800.000,                                 921.739,                                  90.301,                                  18.501,
4/1/2022 4:45:00 PM   ,    2700.000,                                 921.540,                                  90.282,                                  18.198,
4/1/2022 5:00:00 PM   ,    3600.000,                                 921.342,                                  90.262,                                  17.895,
4/1/2022 5:15:00 PM   ,    4500.000,                                 920.623,                                  90.192,                                  17.540,
4/1/2022 5:30:00 PM   ,    5400.000,                                 920.228,                                  90.153,                                  17.337,
4/1/2022 5:45:00 PM   ,    6300.000,                                 920.620,                                  90.192,                                  17.134,
4/1/2022 6:00:00 PM   ,    7200.000,                                 920.268,                                  90.157,                                  16.880,
4/1/2022 6:15:00 PM   ,    8100.000,                                 921.082,                                  90.237,                                  16.778,
4/1/2022 6:30:00 PM   ,    9000.000,                                 920.027,                                  90.134,                                  16.626,
4/1/2022 6:45:00 PM   ,    9900.000,                                 920.153,                                  90.146,                                  16.473,
4/1/2022 7:00:00 PM   ,   10800.000,                                 919.997,                                  90.131,                                  16.320,
4/1/2022 7:15:00 PM   ,   11700.000,                                 920.081,                                  90.139,                                  16.218,
4/1/2022 7:30:00 PM   ,   12600.000,                                 919.827,                                  90.114,                                  16.116,
4/1/2022 7:45:00 PM   ,   13500.000,                                 920.080,                                  90.139,                                  16.014,
4/1/2022 8:00:00 PM   ,   14400.000,                                 920.051,                                  90.136,                                  15.912,
4/1/2022 8:15:00 PM   ,   15300.000,                                 921.048,                                  90.234,                                  15.861,
4/1/2022 8:30:00 PM   ,   16200.000,                                 919.797,                                  90.111,                                  15.810,
4/1/2022 8:45:00 PM   ,   17100.000,                                 919.952,                                  90.126,                                  15.759,
4/1/2022 9:00:00 PM   ,   18000.000,                                 920.218,                                  90.152,                                  15.708,
4/1/2022 9:15:00 PM   ,   18900.000,                                 920.316,                                  90.162,                                  15.657,
4/1/2022 9:30:00 PM   ,   19800.000,                                 921.201,                                  90.249,                                  15.605,
4/1/2022 9:45:00 PM   ,   20700.000,                                 920.568,                                  90.187,                                  15.554,
4/1/2022 10:00:00 PM  ,   21600.000,                                 921.018,                                  90.231,                                  15.554,
4/1/2022 10:15:00 PM  ,   22500.000,                                 921.060,                                  90.235,                                  15.503,
4/1/2022 10:30:00 PM  ,   23400.000,                                 920.540,                                  90.184,                                  15.452,
4/1/2022 10:45:00 PM  ,   24300.000,                                 920.596,                                  90.189,                                  15.452,
4/1/2022 11:00:00 PM  ,   25200.000,                                 921.368,                                  90.265,                                  15.401,
4/1/2022 11:15:00 PM  ,   26100.000,                                 921.649,                                  90.292,                                  15.401,
4/1/2022 11:30:00 PM  ,   27000.000,                                 920.806,                                  90.210,                                  15.401,
4/1/2022 11:45:00 PM  ,   27900.000,                                 920.848,                                  90.214,                                  15.350,
4/2/2022 12:00:00 AM  ,   28800.000,                                 920.399,                                  90.170,                                  15.350,
4/2/2022 12:15:00 AM  ,   29700.000,                                 920.455,                                  90.175,                                  15.350,
4/2/2022 12:30:00 AM  ,   30600.000,                                 920.567,                                  90.186,                                  15.350,
4/2/2022 12:45:00 AM  ,   31500.000,                                 920.609,                                  90.191,                                  15.298,
4/2/2022 1:00:00 AM   ,   32400.000,                                 920.497,                                  90.180,                                  15.298,
4/2/2022 1:15:00 AM   ,   33300.000,                                 921.002,                                  90.229,                                  15.298,
4/2/2022 1:30:00 AM   ,   34200.000,                                 921.171,                                  90.246,                                  15.298,
4/2/2022 1:45:00 AM   ,   35100.000,                                 920.201,                                  90.151,                                  15.247,
4/2/2022 2:00:00 AM   ,   36000.000,                                 920.482,                                  90.178,                                  15.247,
4/2/2022 2:15:00 AM   ,   36900.000,                                 919.766,                                  90.108,                                  15.298,
4/2/2022 2:30:00 AM   ,   37800.000,                                 919.921,                                  90.123,                                  15.247,
4/2/2022 2:45:00 AM   ,   38700.000,                                 919.696,                                  90.101,                                  15.247,
4/2/2022 3:00:00 AM   ,   39600.000,                                 919.808,                                  90.112,                                  15.247,
4/2/2022 3:15:00 AM   ,   40500.000,                                 919.415,                                  90.074,                                  15.247,
4/2/2022 3:30:00 AM   ,   41400.000,                                 919.401,                                  90.072,                                  15.196,
4/2/2022 3:45:00 AM   ,   42300.000,                                 920.356,                                  90.166,                                  15.196,
