Report Date:,9/6/2022 10:03:13 AM
Report User Name:,crgilder
Report Computer Name:,FLORENCE
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,04012022_2022-09-06_10-03-04-877.wsl
Create Date,9/6/2022 10:02:40 AM

Device Properties
Device,Rugged TROLL 100
Site,Nyack
Device Name, 
Serial Number,815745
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,12
Used Battery,4

Log Configuration
,Log Name,04012022
,Created By,crgilder
,Computer Name,FLORENCE
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,4/1/2022 3:21:56 PM Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,4/2/2022 10:00:00 AM Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,922.081 (cm)
,Head Pressure:,90.3348 (kPa)
,Temperature:,15.9543 (C)



Log Notes:
Date and Time,Note
4/1/2022 3:22:48 PM   ,Used Battery: 4% Used Memory: 3%   User Name: crgilder
9/6/2022 9:59:54 AM   ,Used Battery: 8% Used Memory: 15%   User Name: crgilder
9/6/2022 9:59:54 AM   ,Manual Stop Command


Log Data:
Record Count,15070

Sensors,1

 ,1,815745,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 815745                             ,SN#: 815745                             ,SN#: 815745                             ,
Date and Time,Seconds     ,Depth (cm)                              ,Pressure (kPa)                          ,Temperature (C)                         ,
4/2/2022 10:00:00 AM  ,       0.000,                                 917.901,                                  89.925,                                  16.358,
4/2/2022 10:15:00 AM  ,     900.000,                                 921.422,                                  90.270,                                  16.661,
4/2/2022 10:30:00 AM  ,    1800.000,                                 917.819,                                  89.917,                                  16.711,
4/2/2022 10:45:00 AM  ,    2700.000,                                 916.614,                                  89.799,                                  16.711,
4/2/2022 11:00:00 AM  ,    3600.000,                                 916.524,                                  89.790,                                  16.560,
4/2/2022 11:15:00 AM  ,    4500.000,                                 920.409,                                  90.171,                                  16.308,
4/2/2022 11:30:00 AM  ,    5400.000,                                 915.434,                                  89.684,                                  16.106,
4/2/2022 11:45:00 AM  ,    6300.000,                                 916.913,                                  89.828,                                  16.106,
4/2/2022 12:00:00 PM  ,    7200.000,                                 916.789,                                  89.816,                                  15.802,
4/2/2022 12:15:00 PM  ,    8100.000,                                 916.820,                                  89.819,                                  15.448,
4/2/2022 12:30:00 PM  ,    9000.000,                                 916.590,                                  89.797,                                  15.143,
4/2/2022 12:45:00 PM  ,    9900.000,                                 916.305,                                  89.769,                                  14.837,
4/2/2022 1:00:00 PM   ,   10800.000,                                 916.569,                                  89.795,                                  14.531,
4/2/2022 1:15:00 PM   ,   11700.000,                                 916.484,                                  89.787,                                  14.123,
4/2/2022 1:30:00 PM   ,   12600.000,                                 915.933,                                  89.733,                                  13.558,
4/2/2022 1:45:00 PM   ,   13500.000,                                 916.181,                                  89.757,                                  13.147,
4/2/2022 2:00:00 PM   ,   14400.000,                                 916.367,                                  89.775,                                  12.682,
4/2/2022 2:15:00 PM   ,   15300.000,                                 916.329,                                  89.771,                                  12.475,
4/2/2022 2:30:00 PM   ,   16200.000,                                 915.972,                                  89.736,                                  12.320,
4/2/2022 2:45:00 PM   ,   17100.000,                                 916.455,                                  89.784,                                  12.268,
4/2/2022 3:00:00 PM   ,   18000.000,                                 916.756,                                  89.813,                                  12.113,
4/2/2022 3:15:00 PM   ,   18900.000,                                 916.591,                                  89.797,                                  12.113,
4/2/2022 3:30:00 PM   ,   19800.000,                                 916.673,                                  89.805,                                  11.957,
4/2/2022 3:45:00 PM   ,   20700.000,                                 917.138,                                  89.851,                                  11.801,
4/2/2022 4:00:00 PM   ,   21600.000,                                 917.758,                                  89.911,                                  11.593,
4/2/2022 4:15:00 PM   ,   22500.000,                                 917.495,                                  89.886,                                  11.332,
4/2/2022 4:30:00 PM   ,   23400.000,                                 917.397,                                  89.876,                                  11.071,
4/2/2022 4:45:00 PM   ,   24300.000,                                 917.418,                                  89.878,                                  10.862,
4/2/2022 5:00:00 PM   ,   25200.000,                                 917.666,                                  89.902,                                  10.705,
4/2/2022 5:15:00 PM   ,   26100.000,                                 918.179,                                  89.953,                                  10.495,
4/2/2022 5:30:00 PM   ,   27000.000,                                 918.483,                                  89.982,                                  10.337,
4/2/2022 5:45:00 PM   ,   27900.000,                                 918.349,                                  89.969,                                  10.180,
4/2/2022 6:00:00 PM   ,   28800.000,                                 918.427,                                  89.977,                                   9.969,
4/2/2022 6:15:00 PM   ,   29700.000,                                 918.990,                                  90.032,                                   9.705,
4/2/2022 6:30:00 PM   ,   30600.000,                                 919.342,                                  90.066,                                   9.494,
4/2/2022 6:45:00 PM   ,   31500.000,                                 919.196,                                  90.052,                                   9.229,
4/2/2022 7:00:00 PM   ,   32400.000,                                 919.057,                                  90.039,                                   9.017,
4/2/2022 7:15:00 PM   ,   33300.000,                                 919.350,                                  90.067,                                   8.752,
4/2/2022 7:30:00 PM   ,   34200.000,                                 919.596,                                  90.091,                                   8.539,
4/2/2022 7:45:00 PM   ,   35100.000,                                 919.344,                                  90.067,                                   8.273,
4/2/2022 8:00:00 PM   ,   36000.000,                                 919.695,                                  90.101,                                   8.006,
4/2/2022 8:15:00 PM   ,   36900.000,                                 919.772,                                  90.109,                                   7.738,
4/2/2022 8:30:00 PM   ,   37800.000,                                 920.119,                                  90.143,                                   7.416,
4/2/2022 8:45:00 PM   ,   38700.000,                                 920.096,                                  90.140,                                   7.201,
4/2/2022 9:00:00 PM   ,   39600.000,                                 921.488,                                  90.277,                                   6.932,
4/2/2022 9:15:00 PM   ,   40500.000,                                 921.193,                                  90.248,                                   6.716,
4/2/2022 9:30:00 PM   ,   41400.000,                                 921.172,                                  90.246,                                   6.500,
4/2/2022 9:45:00 PM   ,   42300.000,                                 921.594,                                  90.287,                                   6.338,
