Report Date:,9/6/2022 9:42:58 AM
Report User Name:,crgilder
Report Computer Name:,FLORENCE
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,04012022_2022-09-06_09-42-34-992.wsl
Create Date,9/6/2022 9:36:44 AM

Device Properties
Device,Rugged TROLL 100
Site,Nyack
Device Name, 
Serial Number,816234
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,12
Used Battery,4

Log Configuration
,Log Name,04012022
,Created By,crgilder
,Computer Name,FLORENCE
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,4/1/2022 3:30:27 PM Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,4/1/2022 4:00:00 PM Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,920.47 (cm)
,Head Pressure:,90.1769 (kPa)
,Temperature:,14.8391 (C)



Log Notes:
Date and Time,Note
4/1/2022 3:31:22 PM   ,Used Battery: 4% Used Memory: 3%   User Name: crgilder
9/6/2022 9:33:56 AM   ,Used Battery: 8% Used Memory: 15%   User Name: crgilder
9/6/2022 9:33:56 AM   ,Manual Stop Command


Log Data:
Record Count,15070

Sensors,1

 ,1,816234,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 816234                             ,SN#: 816234                             ,SN#: 816234                             ,
Date and Time,Seconds     ,Depth (cm)                              ,Pressure (kPa)                          ,Temperature (C)                         ,
4/2/2022 10:00:00 AM  ,       0.000,                                 915.661,                                  89.706,                                  15.880,
4/2/2022 10:15:00 AM  ,     900.000,                                 919.428,                                  90.075,                                  16.294,
4/2/2022 10:30:00 AM  ,    1800.000,                                 916.221,                                  89.761,                                  16.087,
4/2/2022 10:45:00 AM  ,    2700.000,                                 914.510,                                  89.593,                                  16.449,
4/2/2022 11:00:00 AM  ,    3600.000,                                 915.120,                                  89.653,                                  16.190,
4/2/2022 11:15:00 AM  ,    4500.000,                                 918.391,                                  89.973,                                  15.983,
4/2/2022 11:30:00 AM  ,    5400.000,                                 913.411,                                  89.485,                                  15.672,
4/2/2022 11:45:00 AM  ,    6300.000,                                 914.386,                                  89.581,                                  15.516,
4/2/2022 12:00:00 PM  ,    7200.000,                                 916.063,                                  89.745,                                  15.464,
4/2/2022 12:15:00 PM  ,    8100.000,                                 915.560,                                  89.696,                                  15.256,
4/2/2022 12:30:00 PM  ,    9000.000,                                 915.014,                                  89.642,                                  15.100,
4/2/2022 12:45:00 PM  ,    9900.000,                                 914.876,                                  89.629,                                  14.996,
4/2/2022 1:00:00 PM   ,   10800.000,                                 915.275,                                  89.668,                                  14.787,
4/2/2022 1:15:00 PM   ,   11700.000,                                 915.436,                                  89.684,                                  14.525,
4/2/2022 1:30:00 PM   ,   12600.000,                                 915.135,                                  89.654,                                  14.211,
4/2/2022 1:45:00 PM   ,   13500.000,                                 914.696,                                  89.611,                                  13.791,
4/2/2022 2:00:00 PM   ,   14400.000,                                 914.935,                                  89.635,                                  13.369,
4/2/2022 2:15:00 PM   ,   15300.000,                                 915.199,                                  89.661,                                  13.052,
4/2/2022 2:30:00 PM   ,   16200.000,                                 914.700,                                  89.612,                                  12.840,
4/2/2022 2:45:00 PM   ,   17100.000,                                 914.853,                                  89.627,                                  12.522,
4/2/2022 3:00:00 PM   ,   18000.000,                                 915.368,                                  89.677,                                  12.309,
4/2/2022 3:15:00 PM   ,   18900.000,                                 914.983,                                  89.639,                                  12.096,
4/2/2022 3:30:00 PM   ,   19800.000,                                 915.330,                                  89.673,                                  11.883,
4/2/2022 3:45:00 PM   ,   20700.000,                                 915.914,                                  89.731,                                  11.723,
4/2/2022 4:00:00 PM   ,   21600.000,                                 915.856,                                  89.725,                                  11.455,
4/2/2022 4:15:00 PM   ,   22500.000,                                 916.316,                                  89.770,                                  11.241,
4/2/2022 4:30:00 PM   ,   23400.000,                                 916.158,                                  89.755,                                  11.026,
4/2/2022 4:45:00 PM   ,   24300.000,                                 916.224,                                  89.761,                                  10.811,
4/2/2022 5:00:00 PM   ,   25200.000,                                 916.506,                                  89.789,                                  10.542,
4/2/2022 5:15:00 PM   ,   26100.000,                                 916.923,                                  89.829,                                  10.380,
4/2/2022 5:30:00 PM   ,   27000.000,                                 916.946,                                  89.832,                                  10.218,
4/2/2022 5:45:00 PM   ,   27900.000,                                 917.127,                                  89.849,                                  10.002,
4/2/2022 6:00:00 PM   ,   28800.000,                                 916.746,                                  89.812,                                   9.785,
4/2/2022 6:15:00 PM   ,   29700.000,                                 916.939,                                  89.831,                                   9.622,
4/2/2022 6:30:00 PM   ,   30600.000,                                 917.965,                                  89.932,                                   9.405,
4/2/2022 6:45:00 PM   ,   31500.000,                                 917.753,                                  89.911,                                   9.187,
4/2/2022 7:00:00 PM   ,   32400.000,                                 917.655,                                  89.901,                                   8.969,
4/2/2022 7:15:00 PM   ,   33300.000,                                 917.916,                                  89.927,                                   8.860,
4/2/2022 7:30:00 PM   ,   34200.000,                                 918.145,                                  89.949,                                   8.587,
4/2/2022 7:45:00 PM   ,   35100.000,                                 918.442,                                  89.978,                                   8.368,
4/2/2022 8:00:00 PM   ,   36000.000,                                 918.627,                                  89.996,                                   8.148,
4/2/2022 8:15:00 PM   ,   36900.000,                                 918.408,                                  89.975,                                   7.874,
4/2/2022 8:30:00 PM   ,   37800.000,                                 918.818,                                  90.015,                                   7.653,
4/2/2022 8:45:00 PM   ,   38700.000,                                 918.667,                                  90.000,                                   7.433,
4/2/2022 9:00:00 PM   ,   39600.000,                                 919.585,                                  90.090,                                   7.212,
4/2/2022 9:15:00 PM   ,   40500.000,                                 919.940,                                  90.125,                                   6.990,
4/2/2022 9:30:00 PM   ,   41400.000,                                 920.016,                                  90.132,                                   6.769,
4/2/2022 9:45:00 PM   ,   42300.000,                                 920.034,                                  90.134,                                   6.547,
