TOA5	CR1000_HA07	CR1000	43363	CR1000.Std.22	CPU:Nyack_Met corrected_recal_11_27_12.CR1	48213	Met												
TIMESTAMP	RECORD	AirTC	RH	BP_mmHg	PAR_Den	SlrkW	Soil_T_C	VW	PA_uS	WindSpeed	WindDir	WindSpeed_S_WVT	WindDir_D1_WVT	WindDir_SD1_WVT	Rain_mm_Tot	AirTC_Max	AirTC_TMx	AirTC_Min	AirTC_TMn
TS	RN	Deg C	%	mmHg	umol/s/m^2	kW/m^2	Deg C		uSec	kph	Degrees	kph	Deg	Deg	mm	Deg C	Deg C	Deg C	Deg C
		Smp	Smp	Smp	Smp	Smp	Smp	Smp	Smp	Smp	Smp	WVc	WVc	WVc	Tot	Max	TMx	Min	TMn
4/1/2022 0:00	9474	-1.295	84.8	761.2	0	0	1.124	0.371	29.91	3.222	132.6	4.156	307	70.12	0	-0.168	3/31/2022 23:20	-1.465	3/31/2022 23:40
4/1/2022 1:00	9475	-0.986	81.4	761.5	0	0	1.125	0.371	29.91	5.188	305.5	4.197	1.67	45.75	0	0.347	4/1/2022 0:50	-1.055	4/1/2022 0:10
4/1/2022 2:00	9476	-1.978	84.6	760.9	0	0	1.106	0.371	29.91	5.814	268.1	4.447	264.9	26.06	0	-0.542	4/1/2022 1:10	-1.978	4/1/2022 2:00
4/1/2022 3:00	9477	-0.847	84.1	761.3	0	0	1.087	0.371	29.91	3.554	315.8	4.12	286.6	16.92	0	-0.847	4/1/2022 3:00	-2.592	4/1/2022 2:20
4/1/2022 4:00	9478	-0.337	82.2	761.7	0	0	1.068	0.371	29.91	5.05	222.8	4.671	267	44.14	0	-0.337	4/1/2022 4:00	-2.351	4/1/2022 3:20
4/1/2022 5:00	9479	0.172	80.8	761.6	0	0	1.045	0.372	29.92	1.89	133.4	2.669	269	72.42	0	0.72	4/1/2022 4:30	-0.542	4/1/2022 4:10
4/1/2022 6:00	9480	-0.752	82.8	761.3	0.669	0	1.024	0.372	29.92	3.271	342.6	2.599	8.69	77.87	0	-0.103	4/1/2022 5:40	-0.786	4/1/2022 5:50
4/1/2022 7:00	9481	0.784	74.36	761.9	80.2	0.036	0.995	0.372	29.92	2.91	301.1	3.555	258	40.79	0	0.784	4/1/2022 7:00	-0.478	4/1/2022 6:10
4/1/2022 8:00	9482	2.828	63.52	762.3	593.8	0.316	0.976	0.371	29.91	6.52	8.24	4.312	341.2	43.1	0	2.828	4/1/2022 8:00	0.574	4/1/2022 7:30
4/1/2022 9:00	9483	3.701	56.98	762	961	0.487	0.947	0.371	29.91	14.74	335.2	10.42	330.9	18.47	0	3.838	4/1/2022 8:50	3.169	4/1/2022 8:10
4/1/2022 10:00	9484	4.847	50.55	761.9	311.4	0.122	0.922	0.371	29.91	7.338	0.339	11.67	322.5	20.94	0	4.847	4/1/2022 10:00	3.998	4/1/2022 9:30
4/1/2022 11:00	9485	5.461	34.13	761.7	833	0.384	0.887	0.372	29.92	7.856	312.5	7.756	329.9	28.38	0.254	6.212	4/1/2022 10:50	4.812	4/1/2022 10:10
4/1/2022 12:00	9486	5.792	40.54	761.7	993	0.461	0.868	0.371	29.91	9.27	27.13	9.77	113.1	85.1	0	6.21	4/1/2022 11:20	5.666	4/1/2022 11:10
4/1/2022 13:00	9487	6.435	42.07	761.8	988	0.46	0.856	0.371	29.91	8.79	321.6	8.4	289	49	0.254	6.674	4/1/2022 12:40	5.995	4/1/2022 12:20
4/1/2022 14:00	9488	6.435	44.59	761.7	533.2	0.242	0.858	0.372	29.92	4.523	82.6	6.164	96.9	84.7	0	6.435	4/1/2022 14:00	6.094	4/1/2022 13:40
4/1/2022 15:00	9489	7.017	39.51	761.1	636.8	0.285	0.887	0.372	29.92	4.759	121.5	8.25	6.903	55.61	0.254	7.017	4/1/2022 15:00	6.333	4/1/2022 14:40
4/1/2022 16:00	9490	6.708	40.26	761.3	453	0.201	0.942	0.372	29.92	12.48	321.6	8.15	297.4	55.79	0	7.288	4/1/2022 15:20	6.708	4/1/2022 16:00
4/1/2022 17:00	9491	6.852	39.48	761.8	255.3	0.115	1.011	0.372	29.93	6.228	354.6	6.121	66.55	63.73	0	7.053	4/1/2022 16:30	6.613	4/1/2022 16:50
4/1/2022 18:00	9492	5.153	61.54	761.6	121.6	0.059	1.088	0.372	29.92	3.431	158.9	4.289	65.99	70.64	0	6.75	4/1/2022 17:10	5.153	4/1/2022 18:00
4/1/2022 19:00	9493	3.618	66.01	761.3	13.36	0.005	1.174	0.372	29.93	0.828	244.5	2.548	242.1	29.02	0	5.427	4/1/2022 18:10	3.618	4/1/2022 19:00
4/1/2022 20:00	9494	2.301	73.98	761.4	0	0	1.251	0.372	29.93	2.775	55.07	1.026	216.5	89.6	0	2.901	4/1/2022 19:10	1.918	4/1/2022 19:40
4/1/2022 21:00	9495	1.929	73.58	762.1	0	0	1.328	0.372	29.93	3.029	296.3	2.524	308.9	58.18	0	2.677	4/1/2022 20:20	1.687	4/1/2022 20:50
4/1/2022 22:00	9496	0.942	83.1	761.7	0	0	1.4	0.373	29.95	2.096	315.1	2.522	315.1	54.93	0	1.897	4/1/2022 21:10	0.942	4/1/2022 21:50
4/1/2022 23:00	9497	-1.065	90.3	761.3	0	0	1.443	0.372	29.93	1.745	208.3	2.144	128.6	81.7	0	0.024	4/1/2022 22:10	-1.441	4/1/2022 22:50
4/2/2022 0:00	9498	-2.114	90.8	761.5	0	0	1.497	0.373	29.95	1.26	9.75	1.671	111	96.2	0	-1.54	4/1/2022 23:10	-2.763	4/1/2022 23:40
4/2/2022 1:00	9499	-2.93	95.6	761.4	0	0	1.527	0.373	29.95	2.042	104.1	0.976	56.89	38.71	0	-2.59	4/2/2022 0:30	-2.931	4/2/2022 0:50
4/2/2022 2:00	9500	-3.916	96.2	760.6	0	0	1.538	0.373	29.95	2.971	159.9	1.97	160.3	68.05	0	-2.824	4/2/2022 1:20	-3.916	4/2/2022 2:00
4/2/2022 3:00	9501	-4.287	97.9	760.3	0	0	1.552	0.373	29.95	0.68	203	0.98	264.8	54.83	0	-3.164	4/2/2022 2:10	-4.287	4/2/2022 3:00
4/2/2022 4:00	9502	-4.081	97.9	760.7	0	0	1.556	0.373	29.95	2.194	136.3	1.959	129.5	60.71	0	-3.944	4/2/2022 3:10	-4.935	4/2/2022 3:40
4/2/2022 5:00	9503	-3.739	97.6	760.7	0	0	1.547	0.373	29.95	1.926	180.7	1.909	227.5	78.99	0	-3.739	4/2/2022 5:00	-4.559	4/2/2022 4:40
4/2/2022 6:00	9504	-3.027	96.3	760.3	0.669	0	1.529	0.373	29.96	5.708	54.66	2.648	29.73	74.21	0	-2.925	4/2/2022 5:50	-3.91	4/2/2022 5:10
4/2/2022 7:00	9505	-2.521	94.7	760.2	92.3	0.048	1.508	0.373	29.95	2.447	306.8	2.212	114	89.6	0	-2.521	4/2/2022 7:00	-2.824	4/2/2022 6:10
4/2/2022 8:00	9506	-1.499	90.9	760.3	124.4	0.056	1.488	0.373	29.96	1.345	101.1	1.204	93.7	46.37	0	-1.499	4/2/2022 8:00	-2.248	4/2/2022 7:10
4/2/2022 9:00	9507	-0.993	96.5	760	284.9	0.13	1.464	0.373	29.96	1.945	91.8	2.842	95.4	11.89	0	-0.993	4/2/2022 9:00	-1.536	4/2/2022 8:20
4/2/2022 10:00	9508	0.574	95.7	759.6	353.1	0.155	1.444	0.373	29.95	3.465	132.3	2.155	113	21.23	0	0.574	4/2/2022 10:00	-0.689	4/2/2022 9:10
