Report Date:,9/6/2022 9:57:25 AM
Report User Name:,crgilder
Report Computer Name:,FLORENCE
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,04012022_2022-09-06_09-48-07-637.wsl
Create Date,9/6/2022 9:47:52 AM

Device Properties
Device,Rugged TROLL 100
Site,Nyack
Device Name, 
Serial Number,817683
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,12
Used Battery,4

Log Configuration
,Log Name,04012022
,Created By,crgilder
,Computer Name,FLORENCE
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,4/1/2022 3:33:22 PM Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,4/1/2022 4:00:00 PM Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,920.802 (cm)
,Head Pressure:,90.2095 (kPa)
,Temperature:,16.2319 (C)



Log Notes:
Date and Time,Note
4/1/2022 3:34:18 PM   ,Used Battery: 4% Used Memory: 3%   User Name: crgilder
9/6/2022 9:45:09 AM   ,Used Battery: 8% Used Memory: 15%   User Name: crgilder
9/6/2022 9:45:09 AM   ,Manual Stop Command


Log Data:
Record Count,15070

Sensors,1

 ,1,817683,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 817683                             ,SN#: 817683                             ,SN#: 817683                             ,
Date and Time,Seconds     ,Depth (cm)                              ,Pressure (kPa)                          ,Temperature (C)                         ,
4/2/2022 10:00:00 AM  ,       0.000,                                 916.504,                                  89.788,                                  16.383,
4/2/2022 10:15:00 AM  ,     900.000,                                 919.954,                                  90.126,                                  16.534,
4/2/2022 10:30:00 AM  ,    1800.000,                                 916.437,                                  89.782,                                  16.534,
4/2/2022 10:45:00 AM  ,    2700.000,                                 915.379,                                  89.678,                                  16.484,
4/2/2022 11:00:00 AM  ,    3600.000,                                 915.609,                                  89.701,                                  16.131,
4/2/2022 11:15:00 AM  ,    4500.000,                                 919.355,                                  90.068,                                  15.778,
4/2/2022 11:30:00 AM  ,    5400.000,                                 914.147,                                  89.557,                                  15.424,
4/2/2022 11:45:00 AM  ,    6300.000,                                 915.518,                                  89.692,                                  15.222,
4/2/2022 12:00:00 PM  ,    7200.000,                                 915.435,                                  89.684,                                  15.120,
4/2/2022 12:15:00 PM  ,    8100.000,                                 915.476,                                  89.688,                                  15.070,
4/2/2022 12:30:00 PM  ,    9000.000,                                 915.476,                                  89.688,                                  15.070,
4/2/2022 12:45:00 PM  ,    9900.000,                                 915.310,                                  89.671,                                  14.867,
4/2/2022 1:00:00 PM   ,   10800.000,                                 915.049,                                  89.646,                                  14.715,
4/2/2022 1:15:00 PM   ,   11700.000,                                 915.322,                                  89.673,                                  14.512,
4/2/2022 1:30:00 PM   ,   12600.000,                                 915.225,                                  89.663,                                  14.156,
4/2/2022 1:45:00 PM   ,   13500.000,                                 915.073,                                  89.648,                                  13.800,
4/2/2022 2:00:00 PM   ,   14400.000,                                 915.238,                                  89.664,                                  13.392,
4/2/2022 2:15:00 PM   ,   15300.000,                                 915.253,                                  89.666,                                  13.035,
4/2/2022 2:30:00 PM   ,   16200.000,                                 915.103,                                  89.651,                                  12.677,
4/2/2022 2:45:00 PM   ,   17100.000,                                 915.571,                                  89.697,                                  12.369,
4/2/2022 3:00:00 PM   ,   18000.000,                                 915.505,                                  89.691,                                  12.113,
4/2/2022 3:15:00 PM   ,   18900.000,                                 915.726,                                  89.712,                                  11.908,
4/2/2022 3:30:00 PM   ,   19800.000,                                 915.728,                                  89.712,                                  11.702,
4/2/2022 3:45:00 PM   ,   20700.000,                                 916.127,                                  89.752,                                  11.548,
4/2/2022 4:00:00 PM   ,   21600.000,                                 916.459,                                  89.784,                                  11.342,
4/2/2022 4:15:00 PM   ,   22500.000,                                 916.832,                                  89.821,                                  11.085,
4/2/2022 4:30:00 PM   ,   23400.000,                                 916.341,                                  89.773,                                  10.879,
4/2/2022 4:45:00 PM   ,   24300.000,                                 916.113,                                  89.750,                                  10.621,
4/2/2022 5:00:00 PM   ,   25200.000,                                 916.720,                                  89.810,                                  10.414,
4/2/2022 5:15:00 PM   ,   26100.000,                                 917.339,                                  89.870,                                  10.259,
4/2/2022 5:30:00 PM   ,   27000.000,                                 917.563,                                  89.892,                                  10.052,
4/2/2022 5:45:00 PM   ,   27900.000,                                 917.061,                                  89.843,                                   9.794,
4/2/2022 6:00:00 PM   ,   28800.000,                                 916.804,                                  89.818,                                   9.638,
4/2/2022 6:15:00 PM   ,   29700.000,                                 917.779,                                  89.913,                                   9.586,
4/2/2022 6:30:00 PM   ,   30600.000,                                 917.935,                                  89.929,                                   9.327,
4/2/2022 6:45:00 PM   ,   31500.000,                                 917.898,                                  89.925,                                   9.171,
4/2/2022 7:00:00 PM   ,   32400.000,                                 918.123,                                  89.947,                                   8.963,
4/2/2022 7:15:00 PM   ,   33300.000,                                 917.977,                                  89.933,                                   8.807,
4/2/2022 7:30:00 PM   ,   34200.000,                                 918.312,                                  89.966,                                   8.599,
4/2/2022 7:45:00 PM   ,   35100.000,                                 918.769,                                  90.010,                                   8.443,
4/2/2022 8:00:00 PM   ,   36000.000,                                 918.721,                                  90.006,                                   8.234,
4/2/2022 8:15:00 PM   ,   36900.000,                                 918.904,                                  90.024,                                   8.078,
4/2/2022 8:30:00 PM   ,   37800.000,                                 918.692,                                  90.003,                                   7.869,
4/2/2022 8:45:00 PM   ,   38700.000,                                 919.413,                                  90.073,                                   7.660,
4/2/2022 9:00:00 PM   ,   39600.000,                                 919.749,                                  90.106,                                   7.451,
4/2/2022 9:15:00 PM   ,   40500.000,                                 920.263,                                  90.157,                                   7.294,
4/2/2022 9:30:00 PM   ,   41400.000,                                 920.216,                                  90.152,                                   7.085,
4/2/2022 9:45:00 PM   ,   42300.000,                                 920.401,                                  90.170,                                   6.927,
