Report Date:,9/6/2022 9:31:53 AM
Report User Name:,crgilder
Report Computer Name:,FLORENCE
Application:,WinSitu.exe
Application Version:,5.7.6.1


Log File Properties
File Name,04012022_2022-09-06_09-30-09-594.wsl
Create Date,9/6/2022 9:28:47 AM

Device Properties
Device,Rugged TROLL 100
Site,Nyack
Device Name, 
Serial Number,817205
Firmware Version,1.04
Hardware Version,0
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,12
Used Battery,4

Log Configuration
,Log Name,04012022
,Created By,crgilder
,Computer Name,FLORENCE
,Application,WinSitu.exe
,Application Version,5.7.6.1
,Create Date,4/1/2022 3:23:04 PM Mountain Daylight Time
,Log Setup Time Zone,Mountain Daylight Time
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,4/2/2022 10:00:00 AM Mountain Daylight Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Depth
,              Specific Gravity,0.999


Other Log Settings
,Depth of Probe:,922.567 (cm)
,Head Pressure:,90.3823 (kPa)
,Temperature:,15.4833 (C)



Log Notes:
Date and Time,Note
4/1/2022 3:24:02 PM   ,Used Battery: 4% Used Memory: 3%   User Name: crgilder
9/6/2022 9:25:54 AM   ,Used Battery: 8% Used Memory: 15%   User Name: crgilder
9/6/2022 9:25:55 AM   ,Manual Stop Command


Log Data:
Record Count,15070

Sensors,1

 ,1,817205,Pressure/Temp PSIA (9m/30ft)

Time Zone: Mountain Daylight Time

,,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,Sensor: Pres(A) 30ft                    ,
,Elapsed Time,SN#: 817205                             ,SN#: 817205                             ,SN#: 817205                             ,
Date and Time,Seconds     ,Depth (cm)                              ,Pressure (kPa)                          ,Temperature (C)                         ,
4/2/2022 10:00:00 AM  ,       0.000,                                 917.756,                                  89.911,                                  15.892,
4/2/2022 10:15:00 AM  ,     900.000,                                 921.046,                                  90.233,                                  16.249,
4/2/2022 10:30:00 AM  ,    1800.000,                                 917.908,                                  89.926,                                  16.554,
4/2/2022 10:45:00 AM  ,    2700.000,                                 916.363,                                  89.775,                                  16.503,
4/2/2022 11:00:00 AM  ,    3600.000,                                 917.271,                                  89.864,                                  16.401,
4/2/2022 11:15:00 AM  ,    4500.000,                                 920.569,                                  90.187,                                  16.045,
4/2/2022 11:30:00 AM  ,    5400.000,                                 915.655,                                  89.705,                                  15.943,
4/2/2022 11:45:00 AM  ,    6300.000,                                 917.233,                                  89.860,                                  16.096,
4/2/2022 12:00:00 PM  ,    7200.000,                                 916.911,                                  89.828,                                  15.637,
4/2/2022 12:15:00 PM  ,    8100.000,                                 916.632,                                  89.801,                                  15.125,
4/2/2022 12:30:00 PM  ,    9000.000,                                 916.937,                                  89.831,                                  14.971,
4/2/2022 12:45:00 PM  ,    9900.000,                                 916.739,                                  89.811,                                  14.714,
4/2/2022 1:00:00 PM   ,   10800.000,                                 917.098,                                  89.847,                                  14.353,
4/2/2022 1:15:00 PM   ,   11700.000,                                 916.929,                                  89.830,                                  13.991,
4/2/2022 1:30:00 PM   ,   12600.000,                                 916.685,                                  89.806,                                  13.577,
4/2/2022 1:45:00 PM   ,   13500.000,                                 916.677,                                  89.805,                                  13.161,
4/2/2022 2:00:00 PM   ,   14400.000,                                 916.875,                                  89.825,                                  12.639,
4/2/2022 2:15:00 PM   ,   15300.000,                                 916.445,                                  89.783,                                  12.377,
4/2/2022 2:30:00 PM   ,   16200.000,                                 916.662,                                  89.804,                                  12.115,
4/2/2022 2:45:00 PM   ,   17100.000,                                 916.762,                                  89.814,                                  11.852,
4/2/2022 3:00:00 PM   ,   18000.000,                                 917.010,                                  89.838,                                  11.694,
4/2/2022 3:15:00 PM   ,   18900.000,                                 917.391,                                  89.875,                                  11.588,
4/2/2022 3:30:00 PM   ,   19800.000,                                 916.817,                                  89.819,                                  11.430,
4/2/2022 3:45:00 PM   ,   20700.000,                                 917.712,                                  89.907,                                  11.271,
4/2/2022 4:00:00 PM   ,   21600.000,                                 917.828,                                  89.918,                                  11.059,
4/2/2022 4:15:00 PM   ,   22500.000,                                 917.929,                                  89.928,                                  10.794,
4/2/2022 4:30:00 PM   ,   23400.000,                                 917.693,                                  89.905,                                  10.582,
4/2/2022 4:45:00 PM   ,   24300.000,                                 917.810,                                  89.916,                                  10.369,
4/2/2022 5:00:00 PM   ,   25200.000,                                 918.339,                                  89.968,                                  10.155,
4/2/2022 5:15:00 PM   ,   26100.000,                                 918.941,                                  90.027,                                   9.995,
4/2/2022 5:30:00 PM   ,   27000.000,                                 919.249,                                  90.057,                                   9.835,
4/2/2022 5:45:00 PM   ,   27900.000,                                 919.029,                                  90.036,                                   9.674,
4/2/2022 6:00:00 PM   ,   28800.000,                                 918.927,                                  90.026,                                   9.513,
4/2/2022 6:15:00 PM   ,   29700.000,                                 919.354,                                  90.068,                                   9.352,
4/2/2022 6:30:00 PM   ,   30600.000,                                 920.132,                                  90.144,                                   9.191,
4/2/2022 6:45:00 PM   ,   31500.000,                                 920.089,                                  90.140,                                   9.029,
4/2/2022 7:00:00 PM   ,   32400.000,                                 919.504,                                  90.082,                                   8.813,
4/2/2022 7:15:00 PM   ,   33300.000,                                 919.462,                                  90.078,                                   8.651,
4/2/2022 7:30:00 PM   ,   34200.000,                                 919.757,                                  90.107,                                   8.435,
4/2/2022 7:45:00 PM   ,   35100.000,                                 919.642,                                  90.096,                                   8.218,
4/2/2022 8:00:00 PM   ,   36000.000,                                 920.246,                                  90.155,                                   8.055,
4/2/2022 8:15:00 PM   ,   36900.000,                                 920.471,                                  90.177,                                   7.783,
4/2/2022 8:30:00 PM   ,   37800.000,                                 920.181,                                  90.149,                                   7.565,
4/2/2022 8:45:00 PM   ,   38700.000,                                 921.065,                                  90.235,                                   7.346,
4/2/2022 9:00:00 PM   ,   39600.000,                                 921.422,                                  90.270,                                   7.127,
4/2/2022 9:15:00 PM   ,   40500.000,                                 921.675,                                  90.295,                                   6.963,
4/2/2022 9:30:00 PM   ,   41400.000,                                 921.810,                                  90.308,                                   6.798,
4/2/2022 9:45:00 PM   ,   42300.000,                                 921.757,                                  90.303,                                   6.578,
