# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-05-09 18:33:15 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12358500 M F Flathead River near West Glacier MT
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 12358500
#    TS_ID       Parameter Description
#    82906       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
#     P  Provisional data subject to revision.
#     Ice  Value is affected by ice at the measurement site.
#
agency_cd	site_no	datetime	tz_cd	82906_00060	82906_00060_cd
5s	15s	20d	6s	14n	10s
USGS	12358500	2021-01-01 01:00	MST	811	A
USGS	12358500	2021-01-01 01:15	MST	811	A
USGS	12358500	2021-01-01 01:30	MST	811	A
USGS	12358500	2021-01-01 01:45	MST	811	A
USGS	12358500	2021-01-01 02:00	MST	811	A
USGS	12358500	2021-01-01 02:15	MST	811	A
USGS	12358500	2021-01-01 02:30	MST	811	A
USGS	12358500	2021-01-01 02:45	MST	811	A
USGS	12358500	2021-01-01 03:00	MST	811	A
USGS	12358500	2021-01-01 03:15	MST	811	A
USGS	12358500	2021-01-01 03:30	MST	811	A
USGS	12358500	2021-01-01 03:45	MST	811	A
USGS	12358500	2021-01-01 04:00	MST	811	A
USGS	12358500	2021-01-01 04:15	MST	811	A
USGS	12358500	2021-01-01 04:30	MST	811	A
USGS	12358500	2021-01-01 04:45	MST	811	A
USGS	12358500	2021-01-01 05:00	MST	811	A
USGS	12358500	2021-01-01 05:15	MST	811	A
USGS	12358500	2021-01-01 05:30	MST	811	A
USGS	12358500	2021-01-01 05:45	MST	811	A
USGS	12358500	2021-01-01 06:00	MST	811	A
USGS	12358500	2021-01-01 06:15	MST	811	A
USGS	12358500	2021-01-01 06:30	MST	811	A
USGS	12358500	2021-01-01 06:45	MST	811	A
USGS	12358500	2021-01-01 07:00	MST	811	A
USGS	12358500	2021-01-01 07:15	MST	811	A
USGS	12358500	2021-01-01 07:30	MST	811	A
USGS	12358500	2021-01-01 07:45	MST	811	A
USGS	12358500	2021-01-01 08:00	MST	811	A
USGS	12358500	2021-01-01 08:15	MST	811	A
USGS	12358500	2021-01-01 08:30	MST	811	A
USGS	12358500	2021-01-01 08:45	MST	811	A
USGS	12358500	2021-01-01 09:00	MST	811	A
USGS	12358500	2021-01-01 09:15	MST	811	A
USGS	12358500	2021-01-01 09:30	MST	811	A
USGS	12358500	2021-01-01 09:45	MST	811	A
USGS	12358500	2021-01-01 10:00	MST	811	A
USGS	12358500	2021-01-01 10:15	MST	811	A
USGS	12358500	2021-01-01 10:30	MST	811	A
USGS	12358500	2021-01-01 10:45	MST	811	A
USGS	12358500	2021-01-01 11:00	MST	811	A
USGS	12358500	2021-01-01 11:15	MST	811	A
USGS	12358500	2021-01-01 11:30	MST	811	A
USGS	12358500	2021-01-01 11:45	MST	811	A
USGS	12358500	2021-01-01 12:00	MST	811	A
USGS	12358500	2021-01-01 12:15	MST	811	A
USGS	12358500	2021-01-01 12:30	MST	811	A
USGS	12358500	2021-01-01 12:45	MST	811	A
USGS	12358500	2021-01-01 13:00	MST	811	A
USGS	12358500	2021-01-01 13:15	MST	811	A
USGS	12358500	2021-01-01 13:30	MST	811	A
USGS	12358500	2021-01-01 13:45	MST	811	A
USGS	12358500	2021-01-01 14:00	MST	811	A
USGS	12358500	2021-01-01 14:15	MST	811	A
USGS	12358500	2021-01-01 14:30	MST	811	A
USGS	12358500	2021-01-01 14:45	MST	811	A
USGS	12358500	2021-01-01 15:00	MST	811	A
USGS	12358500	2021-01-01 15:15	MST	811	A
USGS	12358500	2021-01-01 15:30	MST	811	A
USGS	12358500	2021-01-01 15:45	MST	811	A
USGS	12358500	2021-01-01 16:00	MST	811	A
USGS	12358500	2021-01-01 16:15	MST	811	A
USGS	12358500	2021-01-01 16:30	MST	811	A
USGS	12358500	2021-01-01 16:45	MST	811	A
USGS	12358500	2021-01-01 17:00	MST	811	A
USGS	12358500	2021-01-01 17:15	MST	811	A
USGS	12358500	2021-01-01 17:30	MST	811	A
USGS	12358500	2021-01-01 17:45	MST	811	A
USGS	12358500	2021-01-01 18:00	MST	811	A
USGS	12358500	2021-01-01 18:15	MST	811	A
USGS	12358500	2021-01-01 18:30	MST	811	A
USGS	12358500	2021-01-01 18:45	MST	811	A
USGS	12358500	2021-01-01 19:00	MST	811	A
USGS	12358500	2021-01-01 19:15	MST	800	A
USGS	12358500	2021-01-01 19:30	MST	800	A
USGS	12358500	2021-01-01 19:45	MST	800	A
USGS	12358500	2021-01-01 20:00	MST	800	A
USGS	12358500	2021-01-01 20:15	MST	800	A
USGS	12358500	2021-01-01 20:30	MST	800	A
USGS	12358500	2021-01-01 20:45	MST	800	A
USGS	12358500	2021-01-01 21:00	MST	800	A
USGS	12358500	2021-01-01 21:15	MST	800	A
USGS	12358500	2021-01-01 21:30	MST	800	A
USGS	12358500	2021-01-01 21:45	MST	800	A
USGS	12358500	2021-01-01 22:00	MST	800	A
USGS	12358500	2021-01-01 22:15	MST	800	A
USGS	12358500	2021-01-01 22:30	MST	800	A
USGS	12358500	2021-01-01 22:45	MST	800	A
USGS	12358500	2021-01-01 23:00	MST	800	A
USGS	12358500	2021-01-01 23:15	MST	800	A
USGS	12358500	2021-01-01 23:30	MST	800	A
USGS	12358500	2021-01-01 23:45	MST	800	A
USGS	12358500	2021-01-02 00:00	MST	800	A
USGS	12358500	2021-01-02 00:15	MST	800	A
USGS	12358500	2021-01-02 00:30	MST	800	A
USGS	12358500	2021-01-02 00:45	MST	800	A
USGS	12358500	2021-01-02 01:00	MST	800	A
USGS	12358500	2021-01-02 01:15	MST	800	A
USGS	12358500	2021-01-02 01:30	MST	800	A
USGS	12358500	2021-01-02 01:45	MST	800	A
USGS	12358500	2021-01-02 02:00	MST	800	A
USGS	12358500	2021-01-02 02:15	MST	800	A
USGS	12358500	2021-01-02 02:30	MST	800	A
USGS	12358500	2021-01-02 02:45	MST	800	A
USGS	12358500	2021-01-02 03:00	MST	800	A
USGS	12358500	2021-01-02 03:15	MST	800	A
USGS	12358500	2021-01-02 03:30	MST	800	A
USGS	12358500	2021-01-02 03:45	MST	800	A
USGS	12358500	2021-01-02 04:00	MST	790	A
USGS	12358500	2021-01-02 04:15	MST	790	A
USGS	12358500	2021-01-02 04:30	MST	790	A
USGS	12358500	2021-01-02 04:45	MST	800	A
USGS	12358500	2021-01-02 05:00	MST	790	A
USGS	12358500	2021-01-02 05:15	MST	800	A
USGS	12358500	2021-01-02 05:30	MST	790	A
USGS	12358500	2021-01-02 05:45	MST	790	A
USGS	12358500	2021-01-02 06:00	MST	790	A
USGS	12358500	2021-01-02 06:15	MST	790	A
USGS	12358500	2021-01-02 06:30	MST	790	A
USGS	12358500	2021-01-02 06:45	MST	790	A
USGS	12358500	2021-01-02 07:00	MST	790	A
USGS	12358500	2021-01-02 07:15	MST	790	A
USGS	12358500	2021-01-02 07:30	MST	790	A
USGS	12358500	2021-01-02 07:45	MST	790	A
USGS	12358500	2021-01-02 08:00	MST	790	A
USGS	12358500	2021-01-02 08:15	MST	790	A
USGS	12358500	2021-01-02 08:30	MST	790	A
USGS	12358500	2021-01-02 08:45	MST	790	A
USGS	12358500	2021-01-02 09:00	MST	790	A
USGS	12358500	2021-01-02 09:15	MST	790	A
USGS	12358500	2021-01-02 09:30	MST	790	A
USGS	12358500	2021-01-02 09:45	MST	790	A
USGS	12358500	2021-01-02 10:00	MST	790	A
USGS	12358500	2021-01-02 10:15	MST	790	A
USGS	12358500	2021-01-02 10:30	MST	790	A
USGS	12358500	2021-01-02 10:45	MST	790	A
USGS	12358500	2021-01-02 11:00	MST	790	A
USGS	12358500	2021-01-02 11:15	MST	790	A
USGS	12358500	2021-01-02 11:30	MST	790	A
USGS	12358500	2021-01-02 11:45	MST	790	A
USGS	12358500	2021-01-02 12:00	MST	790	A
USGS	12358500	2021-01-02 12:15	MST	790	A
USGS	12358500	2021-01-02 12:30	MST	790	A
USGS	12358500	2021-01-02 12:45	MST	790	A
USGS	12358500	2021-01-02 13:00	MST	790	A
USGS	12358500	2021-01-02 13:15	MST	790	A
USGS	12358500	2021-01-02 13:30	MST	800	A
USGS	12358500	2021-01-02 13:45	MST	790	A
USGS	12358500	2021-01-02 14:00	MST	800	A
USGS	12358500	2021-01-02 14:15	MST	800	A
USGS	12358500	2021-01-02 14:30	MST	800	A
USGS	12358500	2021-01-02 14:45	MST	800	A
USGS	12358500	2021-01-02 15:00	MST	800	A
USGS	12358500	2021-01-02 15:15	MST	800	A
USGS	12358500	2021-01-02 15:30	MST	800	A
USGS	12358500	2021-01-02 15:45	MST	800	A
USGS	12358500	2021-01-02 16:00	MST	800	A
USGS	12358500	2021-01-02 16:15	MST	800	A
USGS	12358500	2021-01-02 16:30	MST	800	A
USGS	12358500	2021-01-02 16:45	MST	800	A
USGS	12358500	2021-01-02 17:00	MST	790	A
USGS	12358500	2021-01-02 17:15	MST	790	A
USGS	12358500	2021-01-02 17:30	MST	790	A
USGS	12358500	2021-01-02 17:45	MST	790	A
USGS	12358500	2021-01-02 18:00	MST	790	A
USGS	12358500	2021-01-02 18:15	MST	790	A
USGS	12358500	2021-01-02 18:30	MST	790	A
USGS	12358500	2021-01-02 18:45	MST	790	A
USGS	12358500	2021-01-02 19:00	MST	790	A
USGS	12358500	2021-01-02 19:15	MST	790	A
USGS	12358500	2021-01-02 19:30	MST	790	A
USGS	12358500	2021-01-02 19:45	MST	790	A
USGS	12358500	2021-01-02 20:00	MST	790	A
USGS	12358500	2021-01-02 20:15	MST	790	A
USGS	12358500	2021-01-02 20:30	MST	790	A
USGS	12358500	2021-01-02 20:45	MST	790	A
USGS	12358500	2021-01-02 21:00	MST	790	A
USGS	12358500	2021-01-02 21:15	MST	790	A
USGS	12358500	2021-01-02 21:30	MST	790	A
USGS	12358500	2021-01-02 21:45	MST	790	A
USGS	12358500	2021-01-02 22:00	MST	790	A
USGS	12358500	2021-01-02 22:15	MST	790	A
USGS	12358500	2021-01-02 22:30	MST	790	A
USGS	12358500	2021-01-02 22:45	MST	790	A
USGS	12358500	2021-01-02 23:00	MST	790	A
USGS	12358500	2021-01-02 23:15	MST	790	A
USGS	12358500	2021-01-02 23:30	MST	790	A
USGS	12358500	2021-01-02 23:45	MST	790	A
USGS	12358500	2021-01-03 00:00	MST	790	A
USGS	12358500	2021-01-03 00:15	MST	790	A
USGS	12358500	2021-01-03 00:30	MST	790	A
USGS	12358500	2021-01-03 00:45	MST	790	A
USGS	12358500	2021-01-03 01:00	MST	790	A
USGS	12358500	2021-01-03 01:15	MST	790	A
USGS	12358500	2021-01-03 01:30	MST	790	A
USGS	12358500	2021-01-03 01:45	MST	790	A
USGS	12358500	2021-01-03 02:00	MST	790	A
USGS	12358500	2021-01-03 02:15	MST	790	A
USGS	12358500	2021-01-03 02:30	MST	790	A
USGS	12358500	2021-01-03 02:45	MST	790	A
USGS	12358500	2021-01-03 03:00	MST	800	A
USGS	12358500	2021-01-03 03:15	MST	800	A
USGS	12358500	2021-01-03 03:30	MST	800	A
USGS	12358500	2021-01-03 03:45	MST	800	A
USGS	12358500	2021-01-03 04:00	MST	800	A
USGS	12358500	2021-01-03 04:15	MST	800	A
USGS	12358500	2021-01-03 04:30	MST	800	A
USGS	12358500	2021-01-03 04:45	MST	800	A
USGS	12358500	2021-01-03 05:00	MST	800	A
USGS	12358500	2021-01-03 05:15	MST	800	A
USGS	12358500	2021-01-03 05:30	MST	800	A
USGS	12358500	2021-01-03 05:45	MST	811	A
USGS	12358500	2021-01-03 06:00	MST	811	A
USGS	12358500	2021-01-03 06:15	MST	811	A
USGS	12358500	2021-01-03 06:30	MST	811	A
USGS	12358500	2021-01-03 06:45	MST	811	A
USGS	12358500	2021-01-03 07:00	MST	811	A
USGS	12358500	2021-01-03 07:15	MST	811	A
USGS	12358500	2021-01-03 07:30	MST	821	A
USGS	12358500	2021-01-03 07:45	MST	821	A
USGS	12358500	2021-01-03 08:00	MST	821	A
USGS	12358500	2021-01-03 08:15	MST	821	A
USGS	12358500	2021-01-03 08:30	MST	821	A
USGS	12358500	2021-01-03 08:45	MST	832	A
USGS	12358500	2021-01-03 09:00	MST	832	A
USGS	12358500	2021-01-03 09:15	MST	832	A
USGS	12358500	2021-01-03 09:30	MST	832	A
USGS	12358500	2021-01-03 09:45	MST	832	A
USGS	12358500	2021-01-03 10:00	MST	843	A
USGS	12358500	2021-01-03 10:15	MST	843	A
USGS	12358500	2021-01-03 10:30	MST	843	A
USGS	12358500	2021-01-03 10:45	MST	843	A
USGS	12358500	2021-01-03 11:00	MST	853	A
USGS	12358500	2021-01-03 11:15	MST	853	A
USGS	12358500	2021-01-03 11:30	MST	853	A
USGS	12358500	2021-01-03 11:45	MST	864	A
USGS	12358500	2021-01-03 12:00	MST	864	A
USGS	12358500	2021-01-03 12:15	MST	864	A
USGS	12358500	2021-01-03 12:30	MST	864	A
USGS	12358500	2021-01-03 12:45	MST	864	A
USGS	12358500	2021-01-03 13:00	MST	864	A
USGS	12358500	2021-01-03 13:15	MST	875	A
USGS	12358500	2021-01-03 13:30	MST	875	A
USGS	12358500	2021-01-03 13:45	MST	875	A
USGS	12358500	2021-01-03 14:00	MST	875	A
USGS	12358500	2021-01-03 14:15	MST	875	A
USGS	12358500	2021-01-03 14:30	MST	875	A
USGS	12358500	2021-01-03 14:45	MST	875	A
USGS	12358500	2021-01-03 15:00	MST	875	A
USGS	12358500	2021-01-03 15:15	MST	875	A
USGS	12358500	2021-01-03 15:30	MST	886	A
USGS	12358500	2021-01-03 15:45	MST	875	A
USGS	12358500	2021-01-03 16:00	MST	886	A
USGS	12358500	2021-01-03 16:15	MST	886	A
USGS	12358500	2021-01-03 16:30	MST	886	A
USGS	12358500	2021-01-03 16:45	MST	886	A
USGS	12358500	2021-01-03 17:00	MST	886	A
USGS	12358500	2021-01-03 17:15	MST	886	A
USGS	12358500	2021-01-03 17:30	MST	886	A
USGS	12358500	2021-01-03 17:45	MST	886	A
USGS	12358500	2021-01-03 18:00	MST	886	A
USGS	12358500	2021-01-03 18:15	MST	886	A
USGS	12358500	2021-01-03 18:30	MST	886	A
USGS	12358500	2021-01-03 18:45	MST	886	A
USGS	12358500	2021-01-03 19:00	MST	886	A
USGS	12358500	2021-01-03 19:15	MST	886	A
USGS	12358500	2021-01-03 19:30	MST	886	A
USGS	12358500	2021-01-03 19:45	MST	886	A
USGS	12358500	2021-01-03 20:00	MST	886	A
USGS	12358500	2021-01-03 20:15	MST	886	A
USGS	12358500	2021-01-03 20:30	MST	886	A
USGS	12358500	2021-01-03 20:45	MST	886	A
USGS	12358500	2021-01-03 21:00	MST	875	A
USGS	12358500	2021-01-03 21:15	MST	875	A
USGS	12358500	2021-01-03 21:30	MST	875	A
USGS	12358500	2021-01-03 21:45	MST	875	A
USGS	12358500	2021-01-03 22:00	MST	875	A
USGS	12358500	2021-01-03 22:15	MST	875	A
USGS	12358500	2021-01-03 22:30	MST	875	A
USGS	12358500	2021-01-03 22:45	MST	875	A
USGS	12358500	2021-01-03 23:00	MST	875	A
USGS	12358500	2021-01-03 23:15	MST	875	A
USGS	12358500	2021-01-03 23:30	MST	875	A
USGS	12358500	2021-01-03 23:45	MST	875	A
